Series Title,Year Released,Content Rating,IMDB Rating,R Rating,Genre,Description,No of Seasons,Streaming Platform
Still Game,2002,16+,8.9,67,"Comedy,2002","Cult Scottish comedy about the lives of two OAP's (Old Age Pensioners) Jack and Victor and their views on how it used to be in the old days and how bad it is now in the fictional town of Craiglang.Still Game featuring Ford Kiernan and Greg Hemphill has one or more episodes streaming with subscription on Netflix. It's a comedy show with 62 episodes over 9 seasons. Still Game is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.9 (5,477 votes).",9Seasons,Netflix
Tabula Rasa,2017,18+,8.1,67,"Thriller,Drama","A psychological thriller about Mie, a young woman with amnesia who is locked up in a secure psychiatric hospital. Mie is visited by Detective Inspector Wolkers who claims she was the last person seen with the vanished Thomas Spectre. As a witness and prime suspect, she appears to be the sole key to this mysterious disappearance. In order to solve the puzzle and find Thomas, Mie has to reconstruct her lost memories and find her way back through the dark labyrinth of her recent past.Tabula Rasa featuring Veerle Baetens and Stijn Van Opstal has one or more episodes streaming with subscription on Netflix. It's a drama and thriller show with 9 episodes over 1 season. Tabula Rasa is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (7,514 votes).",1Season,Netflix
The Other Two,2019,18+,7.3,67,"Comedy,2019","An aspiring actor and his sister Brooke, a former professional dancer, try to find their place in the world while wrestling with their feelings about their 13-year-old brother Chase's sudden rise to internet fame.The Other Two featuring Case Walker and Drew Tarver has one or more episodes streaming with subscription on fuboTV, available for purchase on Google Play, available for purchase on VUDU, and 1 other. It's a comedy show with 10 episodes over 1 season. The Other Two is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.3 (1,804 votes) and was very well received by critics.",1Season,fuboTV
The Real Housewives of Beverly Hills,2010,16+,4.9,67,"Reality,Documentary","A reality series that follows some of the most affluent women in the country as they enjoy the lavish lifestyle that only Beverly Hills can provide.The Real Housewives of Beverly Hills featuring Denise Richards and Dorit Kemsley has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with Bravo (Via Cable/Satellite Provider), streaming with subscription on fuboTV, and 6 others. It's a documentary and reality show with 223 episodes over 10 seasons. The Real Housewives of Beverly Hills has a new episode airing on September 16th, 2020 (PDT). It has a less than average IMDb audience rating of 4.9 (4,695 votes).",10Seasons,"Hulu,Bravo,fuboTV"
Criminal: UK,2019,18+,7.4,67,"Drama,Crime","Within the walls of an interrogation room and with time running out, London investigators go after three suspects, each accused of a grievous crime.Criminal: UK featuring Lee Ingleby and Katherine Kelly has one or more episodes streaming with subscription on Netflix. It's a crime and drama show with 12 episodes over 1 season. Criminal: UK is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.4 (8,579 votes).",1Season,Netflix
Remington Steele,1982,7+,7.2,67,"Drama,Action & Adventure","Remington Steele is an American television. The series blended the genres of romantic comedy, drama, and detective procedural. Remington Steele is best known for launching the career of Pierce Brosnan and for serving as a forerunner of the similar series Moonlighting.Remington Steele's premise is that Laura Holt, a licensed private detective played by Stephanie Zimbalist, opened a detective agency under her own name but found that potential clients refused to hire a woman, however qualified. To solve the problem, Laura invents a fictitious male superior whom she names Remington Steele. Through a series of events that unfold in the first episode, ""License to Steele"", Pierce Brosnan's character, a former thief and con man whose real name is never revealed, assumes the identity of Remington Steele. Behind the scenes, Laura remains firmly in charge.Remington Steele featuring Stephanie Zimbalist and Pierce Brosnan has one or more episodes streaming with subscription on Hulu, available for purchase on iTunes, available for purchase on Prime Video, and 1 other. It's an action & adventure and comedy show with 94 episodes over 5 seasons. Remington Steele is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.2 (7,220 votes).",5Seasons,Hulu
The Chicago Code,2011,7+,7.7,67,"Action & Adventure,Crime","The series follows officers of the Chicago Police Department as they fight crime on the streets and try to expose political corruption within the city.The Chicago Code featuring Jennifer Beals and Billy Lush has one or more episodes available for purchase on iTunes, available for purchase on Prime Video, and available for purchase on FandangoNOW. It's an action & adventure and crime show with 13 episodes over 1 season. The Chicago Code is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.7 (7,827 votes) and was very well received by critics.",1Season,
Cardcaptor Sakura,1998,7+,8.0,66,"Animation,Anime","Sakura Kinomoto, an elementary school student who discovers that she possesses magical powers after accidentally freeing a set of magical cards from the book they had been sealed in for years. She is then tasked with retrieving those cards in order to avoid an unknown catastrophe from befalling the world.Cardcaptor Sakura featuring Sakura Tange and Junko Iwao has one or more episodes streaming with subscription on Netflix, free on Crunchyroll, streaming with subscription on Funimation, and 4 others. It's an action & adventure and animation show with 152 episodes over 4 seasons. Cardcaptor Sakura is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.0 (4,241 votes).",4Seasons,"Free Services,Netflix,Funimation"
Sense and Sensibility,2008,16+,8.0,66,"Drama,Romance","Marianne Dashwood wears her heart on her sleeve when she falls in love with the charming but unsuitable John Willoughby, ignoring her sister Elinor's warning that her impulsive behavior leaves her open to gossip and innuendo. Elinor, sensitive to social convention, struggles to conceal her own romantic disappointment, even from those closest to her. Will the sisters learn that sense must mix with sensibility if they are to find personal happiness in a society where status and money govern the rules of love?Sense and Sensibility featuring Hattie Morahan and Charity Wakefield has one or more episodes streaming with subscription on Prime Video, streaming with subscription on Hulu, available for purchase on Google Play, and 3 others. It's a drama and romance show with 3 episodes over 1 season. Sense and Sensibility is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.0 (10,405 votes).",1Season,"Prime Video,Hulu"
Clannad After Story,2009,7+,8.6,66,"Animation,Comedy","High school students Tomoya and Nagisa continue to grow their relationship.Clannad After Story has one or more episodes streaming with subscription on Hulu, and available for purchase on iTunes. It's an animation and comedy show with 24 episodes over 1 season. Clannad After Story is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.6 (8,357 votes).",1Season,Hulu
My Boys,2006,7+,7.3,66,"Comedy,Romance","My Boys follows PJ, a twenty-something professional sportswriter who is looking for love within her world which is dominated by her group of male friends. Her tomboyish, no-nonsense approach to relationships tends to freak out potential suitors which leads her only female friend to advise her to dress and act more feminine.My Boys featuring Jordana Spiro and Kyle Howard has one or more episodes free on Sony Crackle, and free on Plex. It's a comedy and romance show with 49 episodes over 4 seasons. My Boys is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.3 (4,686 votes).",4Seasons,Free Services
Mystery Science Theater 3000: The Return,2017,16+,8.0,66,"Comedy,Science-Fiction","The cult hit returns! Captured by mad scientists, new host Jonah survives a blitz of cheesy B movies by riffing on them with his funny robot pals.Mystery Science Theater 3000: The Return has one or more episodes streaming with subscription on Netflix. It's a Comedy and Science Fiction show with 20 episodes over 2 seasons. Mystery Science Theater 3000: The Return is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.0 (3,164 votes) and was very well received by critics.",2 Seasons,Netflix
Just Add Magic,2015,7+,8.2,66,"Family,Comedy","Kelly Quinn and her two BFF's, Darbie and Hannah, stumble upon her grandmother's mysterious cookbook in the attic and discover some far from ordinary recipes. When the Shut'em Up Shortcake silences Kelly's pesky little brother and the Healing Hazelnut Tart heals Darbie's ankle, the girls discover they have the power of magic. A single-camera live-action pilot based on the popular book.Just Add Magic featuring Olivia Sanabia and Aubrey K. Miller has one or more episodes streaming with subscription on Prime Video. It's a children and comedy show with 41 episodes over 4 seasons. Just Add Magic is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.2 (2,049 votes).",4Seasons,Prime Video
The Brink,2015,18+,7.8,66,"Comedy,2015","Three top U.S. government and military officials scramble to prevent World War 3 from happening amidst the chaos of a geopolitical crisis.The Brink featuring Jack Black and Tim Robbins has one or more episodes streaming with subscription on HBO MAX, streaming on HBO, available for purchase on iTunes, and 4 others. It's a comedy show with 10 episodes over 1 season. The Brink is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.8 (13,047 votes) and was met with mixed reviews by critics.",1 Season,"HBO MAX,HBO"
Borgia,2011,18+,7.8,66,"Action & Adventure,Drama","Borgia is a French-German-Czech historical drama television series created by Tom Fontana. The show recounts the Borgia family's rise to power and subsequent domination of the Papal States during the Renaissance.Borgia featuring John Doman and Mark Ryder has one or more episodes streaming with subscription on Netflix, available for purchase on iTunes, available for purchase on Prime Video, and 1 other. It's an action & adventure and biography show with 38 episodes over 3 seasons. Borgia is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.8 (5,854 votes).",3Seasons,Netflix
Vicious,2013,16+,8.1,66,"Comedy,LGBTQ","Freddie and Stuart are an old couple who have been together for decades and bicker constantly. Their lives are turned upside down by their new upstairs neighbor Ash, who is sure to cause trouble in their mundane lives.Vicious featuring Ian McKellen and Derek Jacobi has one or more episodes free on Tubi, available for purchase on iTunes, available for purchase on Google Play, and 2 others. It's a comedy and LGBTQ show with 15 episodes over 2 seasons. Vicious is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (7,815 votes).",2Seasons,Free Services
Grand Designs,1999,7+,8.5,66,"Documentary,Home & Garden","British television series which features unusual and often elaborate architectural homebuilding projects.Grand Designs featuring Kevin McCloud has one or more episodes streaming with subscription on Netflix, and free on Plex. It's a documentary and home & garden show with 174 episodes over 17 seasons. Grand Designs is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.5 (2,347 votes).",17Seasons,"Free Services,Netflix"
World’s Toughest Race: Eco-Challenge Fiji,2020,16+,7.8,66,"Action & Adventure,Reality","From the creator of Survivor, 66 teams descend upon Fiji to compete in the most epic global adventure race ever attempted. Bear Grylls hosts this 11-day expedition that pushes competitors to their physical and emotional limits. For the veteran teams the goal is to win – but for most, the dream is to finish and prove to themselves and the world, that they can prevail in the World’s Toughest Race.World’s Toughest Race: Eco-Challenge Fiji featuring Bear Grylls has one or more episodes streaming with subscription on Prime Video. It's an action & adventure and game show show with 10 episodes over 1 season. World’s Toughest Race: Eco-Challenge Fiji is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.8 (836 votes).",1Season,Prime Video
The Chi,2018,18+,7.4,66,"Drama,2018","A relevant, timely and distinctive coming-of-age story following a half dozen interrelated characters in the South Side of Chicago. The story centers on Brandon, an ambitious and confident young man who dreams about opening a restaurant of his own someday, but is conflicted between the promise of a new life and his responsibility to his mother and teenage brother back in the South Side.The Chi featuring Jason Mitchell and Alex Hibbert has one or more episodes streaming on Showtime, free on Showtime FREEview, streaming with subscription on fuboTV, and 5 others. It's a drama show with 33 episodes over 3 seasons. The Chi is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.4 (4,078 votes).",3Seasons,"Free Services,Showtime,fuboTV"
The Twilight Zone,1985,7+,7.8,66,"Science-Fiction,Fantasy","The first revival of Rod Serling's acclaimed 1950/60s television series of the same name.The Twilight Zone has one or more episodes streaming with subscription on CBS All Access, and free on CBS. It's a drama and fantasy show with 179 episodes over 5 seasons. The Twilight Zone is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.8 (9,828 votes).",5Seasons,"Free Services,CBS All Access"
Codename: Kids Next Door,2002,7+,7.2,66,"Action & Adventure,Animation","Taking numbers instead of names, five extraordinary 10-year-olds form a covert team called the Kids Next Door with one dedicated mission: to free all children from the tyrannical rule of adults.Codename: Kids Next Door featuring Ben Diskin and Lauren Tom has one or more episodes streaming with subscription on Hoopla, available for purchase on iTunes, and available for purchase on Prime Video. It's an action & adventure and animation show with 140 episodes over 6 seasons. Codename: Kids Next Door is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.2 (16,557 votes).",6Seasons,Hoopla
Zoey 101,2005,7+,6.1,66,"Comedy,Drama","Zoey 101 is an American television series which originally aired on Nickelodeon from January 9, 2005 until May 2, 2008. It focuses on the lives of teenager Zoey Brooks and her friends as they attend Pacific Coast Academy, a fictional boarding school in Southern California. It was created by Dan Schneider. It was initially filmed at Pepperdine University in Malibu, California, then at stages in Valencia, California beginning in season 3. It was nominated for an ""Outstanding Children's Program"" Emmy in 2005. Zoey 101 was the most expensive production ever for Nickelodeon series, as it was shot completely on location in Malibu. It was also Nickelodeon's best performance for a series premiere in almost eight years. Despite this, many critics have made negative comments about the show, its setting, and its characters.Zoey 101 featuring Jamie Lynn Spears and Christopher Massey has one or more episodes streaming via tv everywhere with Nickelodeon (Via Cable/Satellite Provider), available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a comedy and drama show with 67 episodes over 4 seasons. Zoey 101 is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 6.1 (13,316 votes).",4Seasons,Nick
Crazyhead,2016,16+,7.3,66,"Comedy,Horror","Amy and Raquel attempt to navigate their way through the choppy waters of their early twenties whilst simultaneously kicking the ass of some seriously gnarly demons. What could possibly go wrong?Crazyhead featuring Cara Theobold and Susan Wokoma has one or more episodes streaming with subscription on Netflix. It's a comedy and horror show with 6 episodes over 1 season. Crazyhead is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.3 (4,171 votes) and was very well received by critics.",1Season,Netflix
Reprisal,2019,18+,7.5,66,"Crime,Drama","A hyper-noir story that follows a relentless femme fatale who, after being left for dead, sets out to take revenge against her brother and his bombastic gang of gear-heads.Reprisal featuring Abigail Spencer and Rodrigo Santoro has one or more episodes streaming with subscription on Hulu, available for purchase on Google Play, available for purchase on VUDU, and 1 other. It's a crime and drama show with 10 episodes over 1 season. Reprisal is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.5 (2,977 votes) and was not well received by critics.",1Season,Hulu
The Innocent Man,2018,18+,7.4,66,"Crime,Documentary","In a story that gained national attention with John Grisham’s best-selling non-fiction book, The Innocent Man: Murder and Injustice in a Small Town, the six-part documentary series The Innocent Man focuses on two murders that shook the small town of Ada, Oklahoma, in the 1980s — and the controversial chain of events that followed.The Innocent Man featuring J.J. Arends and Serena Michele Burns has one or more episodes streaming with subscription on Netflix. It's a crime and documentary show with 6 episodes over 1 season. The Innocent Man is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.4 (4,589 votes) and was well received by critics.",1Season,Netflix
Undercover,2019,18+,7.9,66,"Drama,Crime","Undercover agents infiltrate a drug kingpin's operation by posing as a couple at the campground where he spends his weekends. Inspired by real events.Undercover featuring Tom Waes and Anna Drijver has one or more episodes streaming with subscription on Netflix. It's a crime and drama show with 10 episodes over 1 season. Undercover is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.9 (7,424 votes).",1Season,Netflix
Secret Diary of a Call Girl,2007,18+,7.4,66,"Drama,Comedy","It's her business doing pleasure with you. A witty and provocative series based on the real-life adventures of a high-class escort. Juggling her own reality with her clients' fantasies can be difficult, but this savvy sweetheart knows every trick in the book, and she's doing it in style.Secret Diary of a Call Girl featuring Billie Piper and Iddo Goldberg has one or more episodes streaming with subscription on Prime Video, streaming on Showtime, free on Plex, and 6 others. It's a comedy and drama show with 32 episodes over 4 seasons. Secret Diary of a Call Girl is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.4 (12,395 votes).",4Seasons,"Free Services,Prime Video,Showtime"
The Larry Sanders Show,1992,18+,8.4,66,"Comedy,1992","Comic Garry Shandling draws upon his own talk show experiences to create the character of Larry Sanders, a paranoid, insecure host of a late night talk show. Larry, along with his obsequious TV sidekick Hank Kingsley and his fiercely protective producer Artie, allows Garry Shandling and his talented writers to look behind the scenes and to show us a convincing slice of behind the camera life.The Larry Sanders Show featuring Garry Shandling and Jeffrey Tambor has one or more episodes streaming with subscription on HBO MAX, streaming on HBO, available for purchase on iTunes, and 1 other. It's a comedy show with 92 episodes over 6 seasons. The Larry Sanders Show is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.4 (7,326 votes) and was very well received by critics.",6Seasons,"HBO MAX,HBO"
Conan,2010,16+,8.1,66,"Comedy,2010","A late night television talk show hosted by Conan O'Brien.Conan featuring Conan O'Brien and Andy Richter has one or more episodes streaming with subscription on Netflix, streaming via tv everywhere with TBS, free on Tubi, and 5 others. It's a comedy show with 2,059 episodes over 15 seasons. Conan has a new episode airing on September 14th, 2020 (PDT). It has a high IMDb audience rating of 8.1 (22,130 votes).",15 Seasons,"Free Services,Netflix,TBS"
4 Blocks,2017,N/A,8.2,66,"Crime,Drama","Based in Neukölln, Berlin Toni manages the daily business of dealing with the Arabic gangs and ends up wanting to leave his old life behind for his family, but as expected, its never that simple.4 Blocks featuring Frederick Lau and Almila Bagriacik has one or more episodes streaming with subscription on Prime Video. It's a crime and drama show with 13 episodes over 2 seasons. 4 Blocks is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.2 (5,478 votes).",2Seasons,Prime Video
The Facts of Life,1979,7+,6.7,66,"Comedy,Family","The Facts of Life is an American sitcom that originally ran on the NBC television network from August 24, 1979, to May 7, 1988, making it the longest running sitcom of the 1980s. A spin-off of the sitcom Diff'rent Strokes, the series' premise focuses on Edna Garrett as she becomes a housemother at the fictional Eastland School, an all-female boarding school in Peekskill, New York.The Facts of Life featuring Cloris Leachman and Lisa Whelchel has one or more episodes free on Sony Crackle, free on Plex, free on IMDb TV, and 2 others. It's a comedy and drama show with 205 episodes over 9 seasons. The Facts of Life is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 6.7 (5,712 votes).",9Seasons,Free Services
Father Brown,2013,7+,7.7,66,"Drama,Crime","Father Brown is based on G. K. Chesterton's detective stories about a Catholic priest who doubles as an amateur detective in order to try and solve mysteries.Father Brown featuring Mark Williams and Sorcha Cusack has one or more episodes streaming on BritBox, streaming with subscription on Hoopla, available for purchase on iTunes, and 3 others. It's a crime and drama show with 99 episodes over 8 seasons. Father Brown is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.7 (7,576 votes).",8Seasons,"BritBox,Hoopla"
Summer Heights High,2007,16+,8.4,66,"Comedy,Drama","Exploring what happens over one school term in an average Australian high school, this mockumentary brings to life Jonah, a 13 year old mischievous schoolboy from Tonga with the odds stacked against him; Mr G, an ego-driven drama teacher with delusional showbiz dreams; and Ja’mie, a bitchy private schoolgirl on a student exchange, set to make her mark on Summer Heights High.Summer Heights High featuring Chris Lilley and David Lennie has one or more episodes available for purchase on Google Play, and available for purchase on YouTube. It's a comedy and drama show with 8 episodes over 1 season. Summer Heights High is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.4 (13,921 votes).",1Season,
Yowamushi Pedal,2013,N/A,7.7,66,"Animation,Anime","Sakamichi Onada is a wimpy high school freshman who loves anime. He initially wants to enter the anime club, but winds up joining the cycling club after meeting two classmates who are already famous cyclists. He undertakes the grueling training to compete in races, and discovers his own hidden talent in cycling.Yowamushi Pedal featuring Daiki Yamashita and Kohsuke Toriumi has one or more episodes free on Crunchyroll. It's an animation and anime show with 89 episodes over 3 seasons. Yowamushi Pedal is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 7.7 (560 votes).",3Seasons,Free Services
Berlin Station,2016,18+,7.6,66,"Action & Adventure,Thriller","A contemporary spy series that follows Daniel Miller, an undercover agent at the CIA station in Berlin, Germany.Berlin Station featuring Richard Armitage and Rhys Ifans has one or more episodes streaming on Epix, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's an action & adventure and drama show with 30 episodes over 3 seasons. Berlin Station is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.6 (7,160 votes).",3Seasons,Epix
NYPD Blue,1993,16+,7.5,66,"Crime,Drama","NYPD Blue is an American television police drama set in New York City, exploring the internal and external struggles of the fictional 15th precinct of Manhattan. Each episode typically intertwined several plots involving an ensemble cast.NYPD Blue featuring Dennis Franz and Mark-Paul Gosselaar has one or more episodes streaming with subscription on Prime Video, streaming with subscription on Hulu, available for purchase on iTunes, and 3 others. It's a crime and drama show with 261 episodes over 12 seasons. NYPD Blue is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.5 (11,447 votes) and was well received by critics.",12Seasons,"Prime Video,Hulu"
The Legend of the Blue Sea,2016,N/A,8.1,66,"Comedy,Fantasy","How can a mermaid from the Joseon era survive in modern-day Seoul? Shim Chung is a mermaid who finds herself transplanted to modern times. She is caught by Heo Joon Jae, a charming but cold con artist who is the doppelgänger for Kim Moon, the son of a nobleman from the Joseon Dynasty. But in the present time, Joon Jae works with Jo Nam Doo, a skilled conman who guides Joon Jae to become a genius scammer. But Joon Jae’s friend, Cha Shi Ah, who works as a researcher at KAIST, may be Chung’s only hope for surviving in her strange new world.The Legend of the Blue Sea featuring Jun Ji-hyun and Lee Min-ho  has one or more episodes streaming with subscription on Hulu. It's a comedy and drama show with 22 episodes over 1 season. The Legend of the Blue Sea is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (4,548 votes).",1Season,Hulu
American Housewife,2016,7+,7.3,66,"Drama,Comedy","A family comedy narrated by Katie, a strong-willed mother, raising her flawed family in a wealthy town filled with perfect wives and their perfect offspring.American Housewife featuring Katy Mixon and Diedrich Bader has one or more episodes streaming with subscription on Hulu, free on ABC, available for purchase on iTunes, and 4 others. It's a comedy and drama show with 91 episodes over 4 seasons. American Housewife is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.3 (7,275 votes).",4Seasons,"Free Services,Hulu"
Good Witch,2015,all,7.3,66,"Drama,Romance","Cassie Nightingale, Middleton’s favorite enchantress, and her young-teenage daughter Grace, who shares that same special intuition as her mom, welcome Dr. Sam Radford and his son to town. When the New York transplants move in next to the Grey House, they are immediately spellbound by the mother-daughter duo next door, but Sam and Cassie quickly find they may not see eye to eye. With her signature charm, Cassie attempts to bring everyone together, ensuring all of Middleton is in for new changes, big surprises and, of course, a little bit of magic! ""Good Witch” is based on Bell’s beloved character Cassie, the raven-haired enchantress who kept audiences spellbound for seven installments of Hallmark Channel's longest-running and highest-rated original movie franchise of all time.Good Witch featuring Catherine Bell and James Denton has one or more episodes streaming with subscription on Netflix, available for purchase on Google Play, available for purchase on Microsoft Store, and 2 others. It's a comedy and drama show with 82 episodes over 6 seasons. Good Witch is still airing with no announced date for the next episode or season. It has a better than average IMDb audience rating of 7.3 (6,898 votes).",6Seasons,Netflix
Death Parade,2015,18+,7.9,66,"Action & Adventure,Anime","There is a place after death that’s neither heaven nor hell. A bar that serves you one chance to win. You cannot leave until the game is over, and when it is, your life may be too. From Studio Madhouse (Death Note, Black Lagoon) comes a thrilling new series where the stakes are high and the rules are simple: your life is on the line.Death Parade featuring Asami Seto and Tomoaki Maeno has one or more episodes streaming with subscription on Funimation, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's an action & adventure and animation show with 12 episodes over 1 season. Death Parade is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.9 (9,804 votes).",1 Season,Funimation
Man in an Orange Shirt,2017,N/A,8.0,66,"Drama,LGBTQ","A love story in two films charts the very different challenges to happiness for Michael and Thomas in the aftermath of World War 2, and to Adam and Steve in the present day.Man in an Orange Shirt featuring Oliver Jackson-Cohen and Vanessa Redgrave has one or more episodes available for purchase on iTunes, available for purchase on Google Play, available for purchase on Prime Video, and 2 others. It's a drama and LGBTQ show with 3 episodes over 1 season. Man in an Orange Shirt is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.0 (3,031 votes) and was very well received by critics.",1Season,
SMILF,2017,18+,6.7,66,"Comedy,Drama","A raw and honest comedic look at a single, 20-something from Southie whose desires for relationships, sex, and a career collide with the realities of young, single motherhood.SMILF featuring Frankie Shaw and Miguel Gomez has one or more episodes streaming on Showtime, streaming with subscription on fuboTV, available for purchase on iTunes, and 4 others. It's a comedy and drama show with 18 episodes over 2 seasons. SMILF is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 6.7 (4,551 votes) and was very well received by critics.",2Seasons,"Showtime,fuboTV"
Shaun the Sheep,2007,all,8.2,66,"Animation,Children","Shaun the Sheep is a British stop-motion animated children's television series produced by Aardman Animations, and commissioned by the British Broadcasting Corporation and Westdeutscher Rundfunk, a constituent member of the consortium of German public-broadcasting institutions, ARD. It is a spin-off of the Wallace and Gromit franchise, starring Shaun from A Close Shave as its main protagonist. It first aired in the UK on CBBC in March 2007. The series has also inspired its own spin-off show, Timmy Time, which is aimed at younger viewers. The show has been broadcast in 180 countries around the world.Shaun the Sheep featuring Jo Allen and John Sparkes has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Google Play, and 2 others. It's an animation and children show with 150 episodes over 5 seasons. Shaun the Sheep is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.2 (11,677 votes).",5Seasons,Prime Video
About a Boy,2014,7+,7.4,66,"Comedy,Drama","Will Freeman lives a charmed existence as the ultimate man-child. After writing a hit song, he was granted a life of free time, free love and freedom from financial woes. He's single, unemployed and loving it. So imagine his surprise when Fiona, a needy single mom and her oddly charming 11-year-old son, Marcus, move in next door and disrupt his perfect world. When Marcus begins dropping by his home unannounced, Will's not so sure about being a kid's new best friend, until, of course, Will discovers that women find single dads irresistible. That changes everything and a deal is struck: Marcus will pretend to be Will's son and, in return, Marcus is allowed to chill at Will's house. Before he realizes it, Will starts to enjoy the visits and even finds himself looking out for the kid. In fact, this newfound friendship may very well teach him a thing or two that he never imagined possible - about himself and caring for others.About a Boy featuring David Walton and Minnie Driver has one or more episodes free on NBC, available for purchase on iTunes, available for purchase on Google Play, and 4 others. It's a comedy and drama show with 33 episodes over 2 seasons. About a Boy is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.4 (8,005 votes) and was well received by critics.",2Seasons,Free Services
Cleverman,2016,16+,6.4,66,"Drama,Fantasy","In the near future, creatures from ancient Aboriginal mythology endowed with extraordinary physical traits have emerged and must coexist with humans. Known as 'Hairypeople' they battle for survival in a world that wants to exploit and destroy them. One young man – The Cleverman – struggles with his own power and the responsibility to unite this divided world, but he must first overcome a deep estrangement from his older brother.Cleverman featuring Hunter Page-Lochard and Iain Glen has one or more episodes streaming with subscription on Netflix, available for purchase on iTunes, available for purchase on Google Play, and 2 others. It's a drama and fantasy show with 12 episodes over 2 seasons. Cleverman is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 6.4 (3,069 votes) and was well received by critics.",2Seasons,Netflix
The New Adventures of Old Christine,2006,7+,7.1,66,"Comedy,2006","Single working mom Christine Campbell has just learned that her ex is dating a much younger woman with the same first name. To avoid any confusion, the new girlfriend is dubbed New Christine, which leaves her with the unfortunate nickname Old Christine.The New Adventures of Old Christine featuring Julia Louis-Dreyfus and Clark Gregg has one or more episodes available for purchase on iTunes, available for purchase on Google Play, available for purchase on Prime Video, and 2 others. It's a comedy show with 88 episodes over 5 seasons. The New Adventures of Old Christine is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.1 (11,391 votes) and was very well received by critics.",5Seasons,
Lovesick,2014,18+,8.1,66,"Comedy,2014","After finding out he has an STI, Dylan must get back in touch with every girl he has ever had sex with to let them know the bad news.Lovesick featuring Johnny Flynn and Antonia Thomas has one or more episodes streaming with subscription on Netflix, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a comedy show with 22 episodes over 3 seasons. Lovesick is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.1 (14,950 votes) and was not well received by critics.",3 Seasons,Netflix
White Lines,2020,18+,6.6,66,"Drama,Crime","Zoe Walker leaves her quiet life behind to investigate her brother's disappearance in Ibiza, where she quickly heads down a decadent and dangerous path.White Lines featuring Laura Haddock and Nuno Lopes has one or more episodes streaming with subscription on Netflix. It's an action & adventure and crime show with 10 episodes over 1 season. White Lines is no longer running and has no plans to air new episodes or seasons. It has an average IMDb audience rating of 6.6 (12,344 votes) and was met with mixed reviews by critics.",1Season,Netflix
